"State","State_Code","Urban_Rural","sex","Age_Group","disabl_count","disability","pop_count","pop_disabl_perc","age_high","iso_code","state_ut"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",23,"MenIll",21375,0.00107602339181287,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",20,"MenRet",21375,0.000935672514619883,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",44,"Mult",21375,0.00205847953216374,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",54,"Speech",21375,0.00252631578947368,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",60,"Move",21375,0.00280701754385965,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","10-19",31,"Hear",21375,0.00145029239766082,19,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",441,"TotDisab",25329,0.0174108729124719,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",50,"Sight",25329,0.00197402187216234,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",102,"Move",25329,0.00402700461921118,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",62,"Other",25329,0.00244778712148131,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",49,"Mult",25329,0.0019345414347191,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",32,"MenIll",25329,0.0012633739981839,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",65,"Hear",25329,0.00256622843381105,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",24,"MenRet",25329,0.000947530498637925,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","20-29",57,"Speech",25329,0.00225038493426507,29,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",57,"Other",22369,0.0025481693414994,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",58,"Sight",22369,0.00259287406678886,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",37,"Mult",22369,0.00165407483571013,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",16,"MenIll",22369,0.00071527560463141,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",131,"Move",22369,0.00585631901291967,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",58,"Hear",22369,0.00259287406678886,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",21,"MenRet",22369,0.000938799231078725,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",25,"Speech",22369,0.00111761813223658,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","30-39",403,"TotDisab",22369,0.0180160042916536,39,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",34,"Other",16912,0.00201040681173132,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",125,"Move",16912,0.00739120151371807,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",17,"MenRet",16912,0.00100520340586566,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",350,"TotDisab",16912,0.0206953642384106,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",45,"Hear",16912,0.00266083254493851,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",18,"Speech",16912,0.0010643330179754,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",10,"MenIll",16912,0.000591296121097446,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",84,"Sight",16912,0.00496688741721854,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","40-49",17,"Mult",16912,0.00100520340586566,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",26,"Other",9849,0.00263986191491522,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",3,"MenRet",9849,0.000304599451720987,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",20,"Hear",9849,0.00203066301147325,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",7,"MenIll",9849,0.000710732054015636,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",25,"Speech",9849,0.00253832876434156,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",19,"Mult",9849,0.00192912986089958,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",138,"TotDisab",9849,0.0140115747791654,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",31,"Move",9849,0.00314752766778353,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","5-9",7,"Sight",9849,0.000710732054015636,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",71,"Sight",10876,0.00652813534387642,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",67,"Hear",10876,0.00616035307098198,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",12,"MenRet",10876,0.00110334681868334,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",25,"Other",10876,0.00229863920559029,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",14,"Speech",10876,0.00128723795513056,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",318,"TotDisab",10876,0.0292386906951085,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",102,"Move",10876,0.00937844795880838,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",20,"Mult",10876,0.00183891136447223,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","50-59",7,"MenIll",10876,0.000643618977565281,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",8,"Speech",6376,0.00125470514429109,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",334,"TotDisab",6376,0.0523839397741531,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",76,"Hear",6376,0.0119196988707654,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",21,"Other",6376,0.00329360100376412,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",5,"MenIll",6376,0.000784190715181932,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",81,"Sight",6376,0.0127038895859473,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",101,"Move",6376,0.015840652446675,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",5,"MenRet",6376,0.000784190715181932,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","60-69",37,"Mult",6376,0.0058030112923463,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",285,"TotDisab",2639,0.107995452823039,79,"IN-AN","Union territory"
